ccaa_code,ccaa,is_study_scope,record_key
01,Andalucía,True,01
02,Aragón,True,02
03,Principado de Asturias,True,03
04,Illes Balears,True,04
05,Canarias,True,05
06,Cantabria,True,06
07,Castilla y León,True,07
08,Castilla-La Mancha,True,08
09,Cataluña,True,09
10,Comunitat Valenciana,True,10
11,Extremadura,True,11
12,Galicia,True,12
13,Comunidad de Madrid,True,13
14,Región de Murcia,True,14
15,Comunidad Foral de Navarra,True,15
16,País Vasco,True,16
17,La Rioja,True,17
18,Ceuta,True,18
19,Melilla,True,19
