puesto,ccaa,puntuacion,presion_turistica,aspecto_motor,z,senal,menciones,negativas,tasa_negativa,evidencia,aspecto_2,z_2,senal_2,menciones_2,negativas_2,tasa_negativa_2,evidencia_2,diferencia_z,empate_tecnico,aspectos_evaluables
1,Canarias,93.42007692272922,0.9464838567005748,desayuno_restauracion,2.484383441999913,0.9870224015060316,3220,289,0.089751552795031,solid,precio,1.8664197563310256,0.9380173388283128,1736.0,178.0,0.1025345622119815,solid,0.6179636856688873,False,11
2,Illes Balears,76.67834980495478,0.8555580126787558,precio,1.626882187828909,0.8962378783044125,3540,349,0.0985875706214689,solid,vistas,0.1495107157064086,0.1188493455083216,7729.0,93.0,0.0120326044766463,solid,1.4773714721225004,False,11
3,Cantabria,61.67560112141297,0.6720477664750111,precio,1.7376440689639334,0.9177264503818016,727,73,0.1004126547455295,solid,masificacion,0.8760440853151035,0.6189939320286286,53.0,6.0,0.1132075471698113,thin,0.86159998364883,False,11
4,Aragón,59.55968261514711,0.7109317411174997,masificacion,1.3976085645016825,0.8377693549246572,56,7,0.125,thin,descanso_ruido,0.7937562670424044,0.572662663257985,1158.0,60.0,0.0518134715025906,solid,0.603852297459278,False,11
5,Comunidad Foral de Navarra,55.890307022227425,0.5799793601651186,autenticidad,2.093105653921402,0.963660275881466,121,6,0.0495867768595041,thin,aparcamiento,1.41957744703041,0.8442692649256766,513.0,33.0,0.0643274853801169,solid,0.6735282068909918,False,10
6,Cataluña,48.26452630161451,0.7998304584991891,precio,0.8477709628586295,0.6034344627507511,12898,1106,0.0857497286400992,solid,trato_anfitrion,-0.2866740917599613,0.0,224863.0,6031.0,0.026820775316526,solid,1.134445054618591,False,11
7,Comunidad de Madrid,47.03233301032965,0.4907120743034056,vistas,2.038006307698258,0.9584506979392098,11944,241,0.0201774949765572,solid,masificacion,0.4345649906745923,0.3361217886362176,310.0,32.0,0.1032258064516129,solid,1.603441317023666,False,11
8,Región de Murcia,34.01898101335181,0.3418472652218782,limpieza,2.81692893646897,0.995151474775484,764,119,0.1557591623036649,solid,equipamiento,2.4394176052950143,0.985289043005276,1150.0,172.0,0.1495652173913043,solid,0.3775113311739551,False,10
9,Castilla y León,33.94233031034737,0.5436016511867905,vistas,0.8860271739527804,0.6243971157233338,1578,24,0.0152091254752851,solid,desayuno_restauracion,0.8746325561278787,0.6182261322718984,1766.0,115.0,0.0651189127972819,solid,0.0113946178249016,True,11
10,La Rioja,32.99552108206164,0.4739422084623323,autenticidad,1.028303514645441,0.6961929216879201,139,5,0.0359712230215827,thin,descanso_ruido,0.730523598346451,0.5349298062381942,587.0,30.0,0.0511073253833049,solid,0.2977799162989899,False,10
11,Galicia,30.410814812264736,0.3250405425328025,descanso_ruido,1.8494051397368312,0.9356006661598444,1871,119,0.0636023516835916,solid,masificacion,0.8525369538588069,0.6060838622197474,71.0,8.0,0.1126760563380281,thin,0.9968681858780244,False,11
12,Comunitat Valenciana,18.809690510575862,0.8628925254312252,masificacion,0.2766930137000105,0.2179841632209739,291,29,0.0996563573883161,solid,precio,-0.0384516684746163,0.0,5580.0,397.0,0.0711469534050179,solid,0.3151446821746269,False,11
13,Castilla-La Mancha,17.024265620155013,0.195673006044523,desayuno_restauracion,1.514245814837312,0.8700364942664265,1335,100,0.0749063670411985,solid,vistas,1.4237996518480378,0.8454955234707466,1141.0,20.0,0.0175284837861524,solid,0.0904461629892743,True,10
14,Principado de Asturias,14.577189290302078,0.4844464101430046,aparcamiento,0.3865411438404806,0.3009040625566616,924,45,0.0487012987012987,solid,desayuno_restauracion,0.0369945430923297,0.0295106432547114,478.0,25.0,0.0523012552301255,solid,0.3495466007481509,False,10
15,Ceuta,12.251153058677962,0.1225930680359435,ubicacion,3.4035729418514937,0.9993348934775008,70,4,0.0571428571428571,thin,trato_anfitrion,2.38879275162866,0.9830961650744626,66.0,4.0,0.0606060606060606,thin,1.0147801902228335,False,4
16,Andalucía,11.397525697622852,0.7600987763526463,vistas,0.1890520207566929,0.149947954821269,13685,167,0.0122031421264157,solid,masificacion,0.1406066868966831,0.1118193346554567,497.0,48.0,0.096579476861167,solid,0.0484453338600098,True,11
17,Extremadura,8.142251516786681,0.3471915081822202,vistas,0.2982892455251093,0.2345175882733081,789,10,0.0126742712294043,thin,autenticidad,0.1183949663100659,0.094245285968953,452.0,11.0,0.0243362831858407,thin,0.1798942792150434,True,10
18,Melilla,0.7746612500794955,0.0911424903722721,ubicacion,0.1067271072799695,0.0849945230721024,62,1,0.0161290322580645,thin,,,,,,,,,False,1
19,País Vasco,0.0,0.3772666961521451,precio,-0.3660829790857282,0.0,5445,358,0.0657483930211202,solid,ubicacion,-0.6826883761019602,0.0,67687.0,427.0,0.0063084491852202,solid,0.3166053970162319,False,11
